Model Name,r2 score_train,r2 score_test,Overfitting Gap,root_mean_squared_error,mean_absolute_error,root_mean_squared_log_error
Voting Regressor,0.9132586275001802,0.8639957065957323,0.04926292090444784,42103.15640743614,26929.359387575652,0.20244933750967975
Random Forest,0.9308596993961594,0.8635864863329218,0.06727321306323764,42166.45045287903,27300.942601629216,0.20361635831047642
XGBoost,0.909527046347648,0.8620246425197717,0.047502403827876294,42407.152321804555,27046.279667631698,0.20380758159768775
LightGBM,0.8931865459568757,0.8619778236966652,0.031208722260210542,42414.34666649832,26976.44901745888,0.20322506169674603
ElasticNet,0.8115572012813134,0.8060641760889393,0.005493025192374046,50276.76965839683,32953.41818060029,0.2366288517787606
Ridge,0.8007575708363116,0.7987686032654776,0.0019889675708339993,51213.70753225261,32708.689688577404,0.23034994947258006
Linear Regression,0.7991877710537185,0.7978760490216412,0.0013117220320773004,51327.16009849189,32741.24127516745,0.2300567025138894
Lasso,0.799601727024992,0.797588152048009,0.002013574976982957,51363.70123034951,32897.941366816085,0.23128244657024866
